Stock Name,Stock Price,Net Change,Time
AAPL,154.80,+0.27,09:30:12
AAPL,155.31,+0.78,09:35:12
AAPL,155.72,+1.19,09:40:12
AAPL,155.55,+1.02,09:45:12
AAPL,155.64,+1.11,09:50:12
AAPL,155.36,+0.83,09:55:13
AAPL,155.29,+0.76,10:00:13
AAPL,155.38,+0.85,10:05:13
AAPL,155.06,+0.53,10:10:13
AAPL,154.53,0.00,10:15:14
AAPL,154.95,+0.42,10:20:14
AAPL,154.62,+0.09,10:25:14
AAPL,154.57,+0.04,10:30:14
AAPL,154.59,+0.06,10:35:14
AAPL,154.26,-0.27,10:40:15
AAPL,154.01,-0.52,10:45:15
AAPL,154.14,-0.39,10:50:15
AAPL,154.14,-0.39,10:55:15
AAPL,154.12,-0.41,11:00:15
AAPL,154.57,+0.04,11:05:16
AAPL,154.94,+0.41,11:10:16
AAPL,155.08,+0.55,11:15:19
AAPL,155.10,+0.57,11:20:19
AAPL,154.99,+0.46,11:25:20
AAPL,154.94,+0.41,11:30:20
AAPL,154.62,+0.09,11:35:20
AAPL,154.67,+0.14,11:40:21
AAPL,154.60,+0.07,11:45:21
AAPL,154.83,+0.30,11:50:21
AAPL,154.96,+0.43,11:55:21
AAPL,154.77,+0.24,12:00:21
AAPL,154.74,+0.21,12:05:22
AAPL,154.85,+0.32,12:10:22
